phylum;class;order;family;genus;species
Mollusca;Bivalvia;Galeommatida;Basterotiidae;Basterotia;Basterotia quadrata
Mollusca;Bivalvia;Cardiida;Semelidae;Cumingia;Cumingia lamellosa
Mollusca;Gastropoda;Littorinimorpha;Calyptraeidae;Crepidula;Crepidula convexa
Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;Acanthochitona hemphilli
Arthropoda;Malacostraca;Decapoda;Diogenidae;Clibanarius;Clibanarius antillensis
Mollusca;Gastropoda;Neogastropoda;Nassariidae;Antillophos;Antillophos adelus
Mollusca;Gastropoda;Cephalaspidea;Gastropteridae;Gastropteron;Gastropteron chacmol
Arthropoda;Malacostraca;Amphipoda;Ampithoidae;Cymadusa;Cymadusa filosa
Arthropoda;Malacostraca;Amphipoda;Ampithoidae;Cymadusa;
Arthropoda;Malacostraca;Amphipoda;Ampithoidae;;
Arthropoda;Malacostraca;Decapoda;Alpheidae;Salmoneus;Salmoneus cristatus
Arthropoda;Insecta;Lepidoptera;Geometridae;Sphacelodes;Sphacelodes fusilineata
Chordata;Actinopterygii;Perciformes;Pomacentridae;Stegastes;Stegastes partitus
Chordata;Actinopterygii;Anguilliformes;Muraenidae;Echidna;Echidna catenata
Chordata;Actinopterygii;Perciformes;Serranidae;Mycteroperca;Mycteroperca bonaci
Chordata;Actinopterygii;Scorpaeniformes;Scorpaenidae;Scorpaena;Scorpaena plumieri
Arthropoda;Malacostraca;Decapoda;Nephropidae;Eunephrops;Eunephrops cadenasi
Chordata;Elasmobranchii;Myliobatiformes;Dasyatidae;Dasyatis;Dasyatis pastinaca
Arthropoda;Insecta;Hymenoptera;Formicidae;Pheidole;Pheidole mendicula
Arthropoda;Insecta;Hymenoptera;Formicidae;Pheidole;Pheidole moerens
Arthropoda;Insecta;Hymenoptera;Formicidae;Pheidole;Pheidole jelskii
Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Justicia;
Arthropoda;Insecta;Hymenoptera;Formicidae;Prionopelta;Prionopelta antillana
Arthropoda;Insecta;Hymenoptera;Formicidae;Rogeria;Rogeria foreli
Arthropoda;Insecta;Hymenoptera;Formicidae;Rogeria;Rogeria curvipubens
Arthropoda;Insecta;Hymenoptera;Formicidae;Camponotus;Camponotus sexguttatus
Arthropoda;Insecta;Hymenoptera;Formicidae;Azteca;
Arthropoda;Insecta;Hymenoptera;Formicidae;Camponotus;Camponotus pittieri
Arthropoda;Insecta;Hymenoptera;Formicidae;Discothyrea;Discothyrea testacea
Arthropoda;Insecta;Hymenoptera;Formicidae;Wasmannia;Wasmannia auropunctata
Arthropoda;Insecta;Hymenoptera;Formicidae;Monomorium;Monomorium ebeninum
Arthropoda;Insecta;Hymenoptera;Formicidae;Platythyrea;Platythyrea punctata
Arthropoda;Insecta;Hymenoptera;Formicidae;Pyramica;Pyramica membranifera
Arthropoda;Insecta;Hymenoptera;Formicidae;Strumigenys;Strumigenys rogeri
Arthropoda;Insecta;Hymenoptera;Formicidae;Pyramica;Pyramica margaritae
Arthropoda;Insecta;Hymenoptera;Formicidae;Strumigenys;Strumigenys louisianae
Arthropoda;Insecta;Hymenoptera;Formicidae;Pyramica;Pyramica eggersi
Arthropoda;Insecta;Hymenoptera;Formicidae;Tapinoma;Tapinoma melanocephalum
Arthropoda;Insecta;Hymenoptera;Formicidae;Cyphomyrmex;Cyphomyrmex minutus
Arthropoda;Insecta;Hymenoptera;Formicidae;Cardiocondyla;Cardiocondyla emeryi
Arthropoda;Insecta;Hymenoptera;Formicidae;Anochetus;Anochetus mayri
Chordata;Reptilia;Squamata;Scincidae;Spondylurus;Spondylurus martinae
Chordata;Reptilia;Squamata;Dactyloidae;Anolis;Anolis marmoratus
Chordata;Reptilia;Squamata;Dactyloidae;Anolis;Anolis wattsii
Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Laurencia;Laurencia aldingensis
Chlorophyta;Ulvophyceae;Bryopsidales;Halimedaceae;Halimeda;
Chlorophyta;Ulvophyceae;Bryopsidales;Halimedaceae;Halimeda;Halimeda tuna
Chlorophyta;Ulvophyceae;Bryopsidales;Halimedaceae;Halimeda;Halimeda opuntia
Chordata;Aves;Passeriformes;Cardinalidae;Pheucticus;Pheucticus ludovicianus
Mollusca;Gastropoda;Littorinimorpha;Triviidae;Trivia;
Mollusca;Gastropoda;Neogastropoda;Olividae;Olivella;Olivella parva
Mollusca;Gastropoda;Neogastropoda;Olividae;Olivella;
Mollusca;Gastropoda;Neogastropoda;Marginellidae;Hyalina;Hyalina pallida
Mollusca;Bivalvia;Lucinida;Lucinidae;Ctena;Ctena imbricatula
Mollusca;Bivalvia;Lucinida;Lucinidae;Microloripes;Microloripes dentatus
Mollusca;Gastropoda;Neogastropoda;Columbellidae;Columbella;
Mollusca;Gastropoda;Trochida;Tegulidae;Tegula;
Mollusca;Gastropoda;Cephalaspidea;Haminoeidae;Atys;Atys caribaeus
